# JPS / A* · MovingAI .scen 正确性报告   2026-07-04 22:42:47
构建配置（JPS.Core）：斜穿角=禁止
范围：movingai/ 全部，共 1354 个 .scen 文件，每个 全部用例
并行：每张图加载后用 8 线程（CPU 16 的 1/2）共享同一 JpsSystem 跑该图的用例（兼测 JPS 多线程安全）
原生库：JPS.Native.dll 已加载（G:\GitHub\JPS\x64\Release\JPS.Native.dll）→ 每条用例校验「C 版 JPS 路径 == C# 版 JPS 路径」

校验项：
  ① JPS 整数代价 == A* 整数代价（最优性）
  ② JPS 路径合法（相邻/可走/不切角）
  ③ JPS 真实长度 ≈ 官方最优
  ④ C 版 JPS == C# 版 JPS：compact path 与平滑路径均逐点严格一致（强一致）
  ⑤ 随机改图+还原致缓存失效后，冷重扫 == 热结果
列说明：
  n=用例数  pass=三项全过  jFail=JPS无解(A*有解)  subopt=JPS≠A*  inval=路径非法
  refL=比官方长  refS=比官方短  mism=C≠C#(compact 或平滑不一致)  cold=失效重扫≠热结果

------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
bgmaps-map/AR0202SR.map                         1449    1449      0       0      0      0      0      0      0
bgmaps-map/AR0203SR.map                          190     190      0       0      0      0      0      0      0
------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
------------------------------------------------------------------------------------------------------------
bgmaps-map/AR0204SR.map                         1160    1160      0       0      0      0      0      0      0
bgmaps-map/AR0205SR.map                          740     740      0       0      0      0      0      0      0
bgmaps-map/AR0206SR.map                          260     260      0       0      0      0      0      0      0
bgmaps-map/AR0300SR.map                         1200    1200      0       0      0      0      0      0      0
bgmaps-map/AR0301SR.map                          220     220      0       0      0      0      0      0      0
bgmaps-map/AR0302SR.map                          190     190      0       0      0      0      0      0      0
bgmaps-map/AR0303SR.map                          180     180      0       0      0      0      0      0      0
bgmaps-map/AR0304SR.map                          200     200      0       0      0      0      0      0      0
bgmaps-map/AR0305SR.map                          250     250      0       0      0      0      0      0      0
bgmaps-map/AR0306SR.map                          220     220      0       0      0      0      0      0      0
bgmaps-map/AR0307SR.map                         1650    1650      0       0      0      0      0      0      0
bgmaps-map/AR0308SR.map                          339     339      0       0      0      0      0      0      0
bgmaps-map/AR0309SR.map                          350     350      0       0      0      0      0      0      0
bgmaps-map/AR0310SR.map                          160     160      0       0      0      0      0      0      0
bgmaps-map/AR0311SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0312SR.map                          100     100      0       0      0      0      0      0      0
bgmaps-map/AR0313SR.map                          160     160      0       0      0      0      0      0      0
bgmaps-map/AR0314SR.map                          140     140      0       0      0      0      0      0      0
bgmaps-map/AR0315SR.map                          100     100      0       0      0      0      0      0      0
bgmaps-map/AR0316SR.map                          130     130      0       0      0      0      0      0      0
bgmaps-map/AR0317SR.map                          139     139      0       0      0      0      0      0      0
bgmaps-map/AR0318SR.map                          220     220      0       0      0      0      0      0      0
bgmaps-map/AR0319SR.map                          120     120      0       0      0      0      0      0      0
bgmaps-map/AR0325SR.map                          110     110      0       0      0      0      0      0      0
bgmaps-map/AR0330SR.map                          110     110      0       0      0      0      0      0      0
bgmaps-map/AR0331SR.map                          160     160      0       0      0      0      0      0      0
bgmaps-map/AR0332SR.map                          130     130      0       0      0      0      0      0      0
bgmaps-map/AR0334SR.map                          129     129      0       0      0      0      0      0      0
bgmaps-map/AR0335SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0400SR.map                         1350    1350      0       0      0      0      0      0      0
bgmaps-map/AR0401SR.map                          150     150      0       0      0      0      0      0      0
bgmaps-map/AR0402SR.map                          150     150      0       0      0      0      0      0      0
bgmaps-map/AR0403SR.map                          140     140      0       0      0      0      0      0      0
bgmaps-map/AR0404SR.map                          830     830      0       0      0      0      0      0      0
bgmaps-map/AR0405SR.map                          680     680      0       0      0      0      0      0      0
bgmaps-map/AR0406SR.map                          890     890      0       0      0      0      0      0      0
bgmaps-map/AR0407SR.map                           79      79      0       0      0      0      0      0      0
bgmaps-map/AR0408SR.map                           80      80      0       0      0      0      0      0      0
bgmaps-map/AR0409SR.map                           80      80      0       0      0      0      0      0      0
bgmaps-map/AR0410SR.map                          190     190      0       0      0      0      0      0      0
bgmaps-map/AR0411SR.map                         1150    1150      0       0      0      0      0      0      0
bgmaps-map/AR0412SR.map                          460     460      0       0      0      0      0      0      0
bgmaps-map/AR0413SR.map                          299     299      0       0      0      0      0      0      0
bgmaps-map/AR0414SR.map                          730     730      0       0      0      0      0      0      0
bgmaps-map/AR0415SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0416SR.map                           99      99      0       0      0      0      0      0      0
bgmaps-map/AR0417SR.map                          100     100      0       0      0      0      0      0      0
bgmaps-map/AR0418SR.map                          120     120      0       0      0      0      0      0      0
bgmaps-map/AR0420SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0500SR.map                         1318    1318      0       0      0      0      0      0      0
------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
------------------------------------------------------------------------------------------------------------
bgmaps-map/AR0501SR.map                          100     100      0       0      0      0      0      0      0
bgmaps-map/AR0502SR.map                          140     140      0       0      0      0      0      0      0
bgmaps-map/AR0503SR.map                          148     148      0       0      0      0      0      0      0
bgmaps-map/AR0504SR.map                          400     400      0       0      0      0      0      0      0
bgmaps-map/AR0505SR.map                          490     490      0       0      0      0      0      0      0
bgmaps-map/AR0506SR.map                          140     140      0       0      0      0      0      0      0
bgmaps-map/AR0507SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0508SR.map                           99      99      0       0      0      0      0      0      0
bgmaps-map/AR0509SR.map                          170     170      0       0      0      0      0      0      0
bgmaps-map/AR0510SR.map                          359     359      0       0      0      0      0      0      0
bgmaps-map/AR0511SR.map                          290     290      0       0      0      0      0      0      0
bgmaps-map/AR0512SR.map                           90      90      0       0      0      0      0      0      0
bgmaps-map/AR0513SR.map                          200     200      0       0      0      0      0      0      0
bgmaps-map/AR0514SR.map                          140     140      0       0      0      0      0      0      0
